Category,Subcategory,Generic drug / agent,Common routes
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Mupirocin,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Povidone-iodine,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Chlorhexidine,"IV, topical, irrigation depending on drug"
Hemostasis / anticoagulation / transfusion pharmacology,Coagulation/hemostasis/colloid,Unfractionated heparin,"IV, topical, irrigation depending on drug"
Hemostasis / anticoagulation / transfusion pharmacology,Coagulation/hemostasis/colloid,Low-molecular-weight heparin / Enoxaparin,"IV, topical, irrigation depending on drug"
Hemostasis / anticoagulation / transfusion pharmacology,Coagulation/hemostasis/colloid,Protamine,"IV, topical, irrigation depending on drug"
Hemostasis / anticoagulation / transfusion pharmacology,Coagulation/hemostasis/colloid,Tranexamic acid,"IV, topical, irrigation depending on drug"
Hemostasis / anticoagulation / transfusion pharmacology,Coagulation/hemostasis/colloid,Aminocaproic acid,"IV, topical, irrigation depending on drug"
Hemostasis / anticoagulation / transfusion pharmacology,Coagulation/hemostasis/colloid,Aprotinin,"IV, topical, irrigation depending on drug"
Hemostasis / anticoagulation / transfusion pharmacology,Coagulation/hemostasis/colloid,Desmopressin,"IV, topical, irrigation depending on drug"
Hemostasis / anticoagulation / transfusion pharmacology,Coagulation/hemostasis/colloid,Vitamin K / Phytomenadione,"IV, topical, irrigation depending on drug"
Hemostasis / anticoagulation / transfusion pharmacology,Coagulation/hemostasis/colloid,Fibrinogen concentrate,"IV, topical, irrigation depending on drug"
Hemostasis / anticoagulation / transfusion pharmacology,Coagulation/hemostasis/colloid,Prothrombin complex concentrate 4-factor,"IV, topical, irrigation depending on drug"
Hemostasis / anticoagulation / transfusion pharmacology,Coagulation/hemostasis/colloid,Prothrombin complex concentrate 3-factor,"IV, topical, irrigation depending on drug"
Hemostasis / anticoagulation / transfusion pharmacology,Coagulation/hemostasis/colloid,Activated factor VII / Eptacog alfa,"IV, topical, irrigation depending on drug"
Hemostasis / anticoagulation / transfusion pharmacology,Coagulation/hemostasis/colloid,Factor VIII concentrate,"IV, topical, irrigation depending on drug"
Hemostasis / anticoagulation / transfusion pharmacology,Coagulation/hemostasis/colloid,Factor IX concentrate,"IV, topical, irrigation depending on drug"
Hemostasis / anticoagulation / transfusion pharmacology,Coagulation/hemostasis/colloid,von Willebrand factor concentrate,"IV, topical, irrigation depending on drug"
Hemostasis / anticoagulation / transfusion pharmacology,Coagulation/hemostasis/colloid,Antithrombin concentrate,"IV, topical, irrigation depending on drug"
Hemostasis / anticoagulation / transfusion pharmacology,Coagulation/hemostasis/colloid,Bivalirudin,"IV, topical, irrigation depending on drug"
Hemostasis / anticoagulation / transfusion pharmacology,Coagulation/hemostasis/colloid,Argatroban,"IV, topical, irrigation depending on drug"
Hemostasis / anticoagulation / transfusion pharmacology,Coagulation/hemostasis/colloid,Alteplase,"IV, topical, irrigation depending on drug"
Hemostasis / anticoagulation / transfusion pharmacology,Coagulation/hemostasis/colloid,Tenecteplase,"IV, topical, irrigation depending on drug"
Hemostasis / anticoagulation / transfusion pharmacology,Coagulation/hemostasis/colloid,Urokinase,"IV, topical, irrigation depending on drug"
Hemostasis / anticoagulation / transfusion pharmacology,Coagulation/hemostasis/colloid,Calcium chloride,"IV, topical, irrigation depending on drug"
Hemostasis / anticoagulation / transfusion pharmacology,Coagulation/hemostasis/colloid,Calcium gluconate,"IV, topical, irrigation depending on drug"
Hemostasis / anticoagulation / transfusion pharmacology,Coagulation/hemostasis/colloid,Topical thrombin,"IV, topical, irrigation depending on drug"
Hemostasis / anticoagulation / transfusion pharmacology,Coagulation/hemostasis/colloid,Fibrin sealant / fibrin glue,"IV, topical, irrigation depending on drug"
Hemostasis / anticoagulation / transfusion pharmacology,Coagulation/hemostasis/colloid,Oxidized cellulose,"IV, topical, irrigation depending on drug"
Hemostasis / anticoagulation / transfusion pharmacology,Coagulation/hemostasis/colloid,Gelatin-thrombin matrix,"IV, topical, irrigation depending on drug"
Hemostasis / anticoagulation / transfusion pharmacology,Coagulation/hemostasis/colloid,Albumin,"IV, topical, irrigation depending on drug"
Hemostasis / anticoagulation / transfusion pharmacology,Coagulation/hemostasis/colloid,Hydroxyethyl starch,"IV, topical, irrigation depending on drug"
Hemostasis / anticoagulation / transfusion pharmacology,Coagulation/hemostasis/colloid,Gelatin solution,"IV, topical, irrigation depending on drug"
Hemostasis / anticoagulation / transfusion pharmacology,Coagulation/hemostasis/colloid,Dextran,"IV, topical, irrigation depending on drug"
Obstetric uterotonics / tocolytics,Obstetric,Oxytocin,"IV, IM, intrauterine, sublingual, rectal, PO depending on drug"
Obstetric uterotonics / tocolytics,Obstetric,Carbetocin,"IV, IM, intrauterine, sublingual, rectal, PO depending on drug"
Obstetric uterotonics / tocolytics,Obstetric,Ergometrine / Methylergometrine,"IV, IM, intrauterine, sublingual, rectal, PO depending on drug"
Obstetric uterotonics / tocolytics,Obstetric,Carboprost,"IV, IM, intrauterine, sublingual, rectal, PO depending on drug"
Obstetric uterotonics / tocolytics,Obstetric,Misoprostol,"IV, IM, intrauterine, sublingual, rectal, PO depending on drug"
Obstetric uterotonics / tocolytics,Obstetric,Dinoprostone,"IV, IM, intrauterine, sublingual, rectal, PO depending on drug"
Obstetric uterotonics / tocolytics,Obstetric,Sulprostone,"IV, IM, intrauterine, sublingual, rectal, PO depending on drug"
Obstetric uterotonics / tocolytics,Obstetric,Terbutaline,"IV, IM, intrauterine, sublingual, rectal, PO depending on drug"
Obstetric uterotonics / tocolytics,Obstetric,Salbutamol / Albuterol,"IV, IM, intrauterine, sublingual, rectal, PO depending on drug"
Obstetric uterotonics / tocolytics,Obstetric,Nitroglycerin / Glyceryl trinitrate,"IV, IM, intrauterine, sublingual, rectal, PO depending on drug"
Obstetric uterotonics / tocolytics,Obstetric,Magnesium sulfate,"IV, IM, intrauterine, sublingual, rectal, PO depending on drug"
Obstetric uterotonics / tocolytics,Obstetric,Nifedipine,"IV, IM, intrauterine, sublingual, rectal, PO depending on drug"
Obstetric uterotonics / tocolytics,Obstetric,Atosiban,"IV, IM, intrauterine, sublingual, rectal, PO depending on drug"
Obstetric uterotonics / tocolytics,Obstetric,Indomethacin,"IV, IM, intrauterine, sublingual, rectal, PO depending on drug"
Endocrine / metabolic / electrolytes,Metabolic/electrolyte,Regular insulin / Actrapid,"IV, PO, enteral depending on drug"
Endocrine / metabolic / electrolytes,Metabolic/electrolyte,Dextrose / Glucose,"IV, PO, enteral depending on drug"
Endocrine / metabolic / electrolytes,Metabolic/electrolyte,Glucagon,"IV, PO, enteral depending on drug"
Endocrine / metabolic / electrolytes,Metabolic/electrolyte,Hydrocortisone,"IV, PO, enteral depending on drug"
Endocrine / metabolic / electrolytes,Metabolic/electrolyte,Methylprednisolone,"IV, PO, enteral depending on drug"
Endocrine / metabolic / electrolytes,Metabolic/electrolyte,Dexamethasone,"IV, PO, enteral depending on drug"
Endocrine / metabolic / electrolytes,Metabolic/electrolyte,Prednisolone,"IV, PO, enteral depending on drug"
Endocrine / metabolic / electrolytes,Metabolic/electrolyte,Sodium bicarbonate,"IV, PO, enteral depending on drug"
Endocrine / metabolic / electrolytes,Metabolic/electrolyte,Calcium chloride,"IV, PO, enteral depending on drug"
Endocrine / metabolic / electrolytes,Metabolic/electrolyte,Calcium gluconate,"IV, PO, enteral depending on drug"
Endocrine / metabolic / electrolytes,Metabolic/electrolyte,Magnesium sulfate,"IV, PO, enteral depending on drug"
Endocrine / metabolic / electrolytes,Metabolic/electrolyte,Potassium chloride,"IV, PO, enteral depending on drug"
Endocrine / metabolic / electrolytes,Metabolic/electrolyte,Potassium phosphate,"IV, PO, enteral depending on drug"
Endocrine / metabolic / electrolytes,Metabolic/electrolyte,Sodium phosphate,"IV, PO, enteral depending on drug"
Endocrine / metabolic / electrolytes,Metabolic/electrolyte,Sodium chloride hypertonic,"IV, PO, enteral depending on drug"
Endocrine / metabolic / electrolytes,Metabolic/electrolyte,Mannitol,"IV, PO, enteral depending on drug"
Endocrine / metabolic / electrolytes,Metabolic/electrolyte,Furosemide,"IV, PO, enteral depending on drug"
Endocrine / metabolic / electrolytes,Metabolic/electrolyte,Bumetanide,"IV, PO, enteral depending on drug"
Endocrine / metabolic / electrolytes,Metabolic/electrolyte,Acetazolamide,"IV, PO, enteral depending on drug"
Endocrine / metabolic / electrolytes,Metabolic/electrolyte,Levothyroxine,"IV, PO, enteral depending on drug"
Endocrine / metabolic / electrolytes,Metabolic/electrolyte,Liothyronine,"IV, PO, enteral depending on drug"
Endocrine / metabolic / electrolytes,Metabolic/electrolyte,Desmopressin,"IV, PO, enteral depending on drug"
Endocrine / metabolic / electrolytes,Metabolic/electrolyte,Vasopressin,"IV, PO, enteral depending on drug"
Endocrine / metabolic / electrolytes,Metabolic/electrolyte,Octreotide,"IV, PO, enteral depending on drug"
Endocrine / metabolic / electrolytes,Metabolic/electrolyte,Sodium zirconium cyclosilicate,"IV, PO, enteral depending on drug"
Endocrine / metabolic / electrolytes,Metabolic/electrolyte,Calcium resonium / Sodium polystyrene sulfonate,"IV, PO, enteral depending on drug"
Respiratory drugs / bronchodilators,Airway/bronchospasm/pulmonary vascular,Salbutamol / Albuterol,"Inhaled, nebulized, IV, intratracheal depending on drug"
Respiratory drugs / bronchodilators,Airway/bronchospasm/pulmonary vascular,Levosalbutamol / Levalbuterol,"Inhaled, nebulized, IV, intratracheal depending on drug"
Respiratory drugs / bronchodilators,Airway/bronchospasm/pulmonary vascular,Terbutaline,"Inhaled, nebulized, IV, intratracheal depending on drug"
Respiratory drugs / bronchodilators,Airway/bronchospasm/pulmonary vascular,Ipratropium,"Inhaled, nebulized, IV, intratracheal depending on drug"
Respiratory drugs / bronchodilators,Airway/bronchospasm/pulmonary vascular,Tiotropium,"Inhaled, nebulized, IV, intratracheal depending on drug"
Respiratory drugs / bronchodilators,Airway/bronchospasm/pulmonary vascular,Aminophylline,"Inhaled, nebulized, IV, intratracheal depending on drug"
Respiratory drugs / bronchodilators,Airway/bronchospasm/pulmonary vascular,Theophylline,"Inhaled, nebulized, IV, intratracheal depending on drug"
Respiratory drugs / bronchodilators,Airway/bronchospasm/pulmonary vascular,Epinephrine / Adrenaline,"Inhaled, nebulized, IV, intratracheal depending on drug"
Respiratory drugs / bronchodilators,Airway/bronchospasm/pulmonary vascular,Racemic epinephrine,"Inhaled, nebulized, IV, intratracheal depending on drug"
Respiratory drugs / bronchodilators,Airway/bronchospasm/pulmonary vascular,Magnesium sulfate,"Inhaled, nebulized, IV, intratracheal depending on drug"
Respiratory drugs / bronchodilators,Airway/bronchospasm/pulmonary vascular,Hydrocortisone,"Inhaled, nebulized, IV, intratracheal depending on drug"
Respiratory drugs / bronchodilators,Airway/bronchospasm/pulmonary vascular,Methylprednisolone,"Inhaled, nebulized, IV, intratracheal depending on drug"
Respiratory drugs / bronchodilators,Airway/bronchospasm/pulmonary vascular,Dexamethasone,"Inhaled, nebulized, IV, intratracheal depending on drug"
Respiratory drugs / bronchodilators,Airway/bronchospasm/pulmonary vascular,Budesonide,"Inhaled, nebulized, IV, intratracheal depending on drug"
Respiratory drugs / bronchodilators,Airway/bronchospasm/pulmonary vascular,Beclomethasone,"Inhaled, nebulized, IV, intratracheal depending on drug"
Respiratory drugs / bronchodilators,Airway/bronchospasm/pulmonary vascular,Fluticasone,"Inhaled, nebulized, IV, intratracheal depending on drug"
Respiratory drugs / bronchodilators,Airway/bronchospasm/pulmonary vascular,Montelukast,"Inhaled, nebulized, IV, intratracheal depending on drug"
Respiratory drugs / bronchodilators,Airway/bronchospasm/pulmonary vascular,Nitric oxide,"Inhaled, nebulized, IV, intratracheal depending on drug"
Respiratory drugs / bronchodilators,Airway/bronchospasm/pulmonary vascular,Epoprostenol,"Inhaled, nebulized, IV, intratracheal depending on drug"
Respiratory drugs / bronchodilators,Airway/bronchospasm/pulmonary vascular,Iloprost,"Inhaled, nebulized, IV, intratracheal depending on drug"
Respiratory drugs / bronchodilators,Airway/bronchospasm/pulmonary vascular,Surfactant,"Inhaled, nebulized, IV, intratracheal depending on drug"
Respiratory drugs / bronchodilators,Airway/bronchospasm/pulmonary vascular,Dornase alfa,"Inhaled, nebulized, IV, intratracheal depending on drug"
Respiratory drugs / bronchodilators,Airway/bronchospasm/pulmonary vascular,Acetylcysteine,"Inhaled, nebulized, IV, intratracheal depending on drug"
Emergency drugs / antidotes / rescue agents,Crisis management,Epinephrine / Adrenaline,"IV, IM, IO, PO/enteral, topical depending on drug"
Emergency drugs / antidotes / rescue agents,Crisis management,Atropine,"IV, IM, IO, PO/enteral, topical depending on drug"
Emergency drugs / antidotes / rescue agents,Crisis management,Amiodarone,"IV, IM, IO, PO/enteral, topical depending on drug"
Emergency drugs / antidotes / rescue agents,Crisis management,Lidocaine / Lignocaine,"IV, IM, IO, PO/enteral, topical depending on drug"
Emergency drugs / antidotes / rescue agents,Crisis management,Calcium chloride,"IV, IM, IO, PO/enteral, topical depending on drug"
Emergency drugs / antidotes / rescue agents,Crisis management,Calcium gluconate,"IV, IM, IO, PO/enteral, topical depending on drug"
Emergency drugs / antidotes / rescue agents,Crisis management,Sodium bicarbonate,"IV, IM, IO, PO/enteral, topical depending on drug"
Emergency drugs / antidotes / rescue agents,Crisis management,Magnesium sulfate,"IV, IM, IO, PO/enteral, topical depending on drug"
Emergency drugs / antidotes / rescue agents,Crisis management,Naloxone,"IV, IM, IO, PO/enteral, topical depending on drug"
Emergency drugs / antidotes / rescue agents,Crisis management,Flumazenil,"IV, IM, IO, PO/enteral, topical depending on drug"
Emergency drugs / antidotes / rescue agents,Crisis management,Sugammadex,"IV, IM, IO, PO/enteral, topical depending on drug"
Emergency drugs / antidotes / rescue agents,Crisis management,Neostigmine,"IV, IM, IO, PO/enteral, topical depending on drug"
Emergency drugs / antidotes / rescue agents,Crisis management,Glycopyrrolate,"IV, IM, IO, PO/enteral, topical depending on drug"
Emergency drugs / antidotes / rescue agents,Crisis management,Lipid emulsion 20%,"IV, IM, IO, PO/enteral, topical depending on drug"
Emergency drugs / antidotes / rescue agents,Crisis management,Dantrolene,"IV, IM, IO, PO/enteral, topical depending on drug"
Emergency drugs / antidotes / rescue agents,Crisis management,Methylene blue,"IV, IM, IO, PO/enteral, topical depending on drug"
Emergency drugs / antidotes / rescue agents,Crisis management,Hydroxocobalamin,"IV, IM, IO, PO/enteral, topical depending on drug"
Emergency drugs / antidotes / rescue agents,Crisis management,Cyproheptadine,"IV, IM, IO, PO/enteral, topical depending on drug"
Emergency drugs / antidotes / rescue agents,Crisis management,Physostigmine,"IV, IM, IO, PO/enteral, topical depending on drug"
Emergency drugs / antidotes / rescue agents,Crisis management,Pralidoxime,"IV, IM, IO, PO/enteral, topical depending on drug"
Emergency drugs / antidotes / rescue agents,Crisis management,Activated charcoal,"IV, IM, IO, PO/enteral, topical depending on drug"
Emergency drugs / antidotes / rescue agents,Crisis management,Insulin + dextrose,"IV, IM, IO, PO/enteral, topical depending on drug"
Emergency drugs / antidotes / rescue agents,Crisis management,Glucagon,"IV, IM, IO, PO/enteral, topical depending on drug"
Emergency drugs / antidotes / rescue agents,Crisis management,Phentolamine,"IV, IM, IO, PO/enteral, topical depending on drug"
Emergency drugs / antidotes / rescue agents,Crisis management,Hyaluronidase,"IV, IM, IO, PO/enteral, topical depending on drug"
Emergency drugs / antidotes / rescue agents,Crisis management,Nitroglycerin / Glyceryl trinitrate,"IV, IM, IO, PO/enteral, topical depending on drug"
Emergency drugs / antidotes / rescue agents,Crisis management,Benzodiazepines,"IV, IM, IO, PO/enteral, topical depending on drug"
Emergency drugs / antidotes / rescue agents,Crisis management,Levetiracetam,"IV, IM, IO, PO/enteral, topical depending on drug"
Emergency drugs / antidotes / rescue agents,Crisis management,Phenobarbital,"IV, IM, IO, PO/enteral, topical depending on drug"
Emergency drugs / antidotes / rescue agents,Crisis management,Propofol,"IV, IM, IO, PO/enteral, topical depending on drug"
Emergency drugs / antidotes / rescue agents,Crisis management,Rocuronium,"IV, IM, IO, PO/enteral, topical depending on drug"
Emergency drugs / antidotes / rescue agents,Crisis management,Succinylcholine / Suxamethonium,"IV, IM, IO, PO/enteral, topical depending on drug"
Emergency drugs / antidotes / rescue agents,Crisis management,Tranexamic acid,"IV, IM, IO, PO/enteral, topical depending on drug"
Emergency drugs / antidotes / rescue agents,Crisis management,Protamine,"IV, IM, IO, PO/enteral, topical depending on drug"
Emergency drugs / antidotes / rescue agents,Crisis management,Prothrombin complex concentrate 4-factor,"IV, IM, IO, PO/enteral, topical depending on drug"
Neuro / ICP / anticonvulsants,Neuroanesthesia,Mannitol,"IV, topical/intra-arterial depending on drug"
Neuro / ICP / anticonvulsants,Neuroanesthesia,Hypertonic saline,"IV, topical/intra-arterial depending on drug"
Neuro / ICP / anticonvulsants,Neuroanesthesia,Furosemide,"IV, topical/intra-arterial depending on drug"
Neuro / ICP / anticonvulsants,Neuroanesthesia,Dexamethasone,"IV, topical/intra-arterial depending on drug"
Neuro / ICP / anticonvulsants,Neuroanesthesia,Thiopental / Thiopentone,"IV, topical/intra-arterial depending on drug"
Neuro / ICP / anticonvulsants,Neuroanesthesia,Propofol,"IV, topical/intra-arterial depending on drug"
Neuro / ICP / anticonvulsants,Neuroanesthesia,Midazolam,"IV, topical/intra-arterial depending on drug"
Neuro / ICP / anticonvulsants,Neuroanesthesia,Diazepam,"IV, topical/intra-arterial depending on drug"
Neuro / ICP / anticonvulsants,Neuroanesthesia,Lorazepam,"IV, topical/intra-arterial depending on drug"
Neuro / ICP / anticonvulsants,Neuroanesthesia,Levetiracetam,"IV, topical/intra-arterial depending on drug"
Neuro / ICP / anticonvulsants,Neuroanesthesia,Phenytoin,"IV, topical/intra-arterial depending on drug"
Neuro / ICP / anticonvulsants,Neuroanesthesia,Fosphenytoin,"IV, topical/intra-arterial depending on drug"
Neuro / ICP / anticonvulsants,Neuroanesthesia,Valproate,"IV, topical/intra-arterial depending on drug"
Neuro / ICP / anticonvulsants,Neuroanesthesia,Phenobarbital,"IV, topical/intra-arterial depending on drug"
Neuro / ICP / anticonvulsants,Neuroanesthesia,Lacosamide,"IV, topical/intra-arterial depending on drug"
Neuro / ICP / anticonvulsants,Neuroanesthesia,Magnesium sulfate,"IV, topical/intra-arterial depending on drug"
Neuro / ICP / anticonvulsants,Neuroanesthesia,Adenosine,"IV, topical/intra-arterial depending on drug"
Neuro / ICP / anticonvulsants,Neuroanesthesia,Papaverine,"IV, topical/intra-arterial depending on drug"
Neuro / ICP / anticonvulsants,Neuroanesthesia,Nimodipine,"IV, topical/intra-arterial depending on drug"
Neuro / ICP / anticonvulsants,Neuroanesthesia,Tranexamic acid,"IV, topical/intra-arterial depending on drug"
Neuro / ICP / anticonvulsants,Neuroanesthesia,Desmopressin,"IV, topical/intra-arterial depending on drug"
Topical airway / nasal / ENT agents,Airway topicalization / ENT,Lidocaine / Lignocaine spray/gel,"Topical, nebulized, intranasal, airway mucosal"
Topical airway / nasal / ENT agents,Airway topicalization / ENT,Tetracaine / Amethocaine,"Topical, nebulized, intranasal, airway mucosal"
Topical airway / nasal / ENT agents,Airway topicalization / ENT,Benzocaine,"Topical, nebulized, intranasal, airway mucosal"
Topical airway / nasal / ENT agents,Airway topicalization / ENT,Cocaine topical,"Topical, nebulized, intranasal, airway mucosal"
Topical airway / nasal / ENT agents,Airway topicalization / ENT,Phenylephrine topical/nasal,"Topical, nebulized, intranasal, airway mucosal"
Topical airway / nasal / ENT agents,Airway topicalization / ENT,Oxymetazoline,"Topical, nebulized, intranasal, airway mucosal"
Topical airway / nasal / ENT agents,Airway topicalization / ENT,Xylometazoline,"Topical, nebulized, intranasal, airway mucosal"
Topical airway / nasal / ENT agents,Airway topicalization / ENT,Naphazoline,"Topical, nebulized, intranasal, airway mucosal"
Topical airway / nasal / ENT agents,Airway topicalization / ENT,Epinephrine / Adrenaline topical,"Topical, nebulized, intranasal, airway mucosal"
Topical airway / nasal / ENT agents,Airway topicalization / ENT,Tranexamic acid topical/nebulized,"Topical, nebulized, intranasal, airway mucosal"
Topical airway / nasal / ENT agents,Airway topicalization / ENT,Mucosal atomized ketamine,"Topical, nebulized, intranasal, airway mucosal"
Topical airway / nasal / ENT agents,Airway topicalization / ENT,Nebulized lidocaine,"Topical, nebulized, intranasal, airway mucosal"
Topical airway / nasal / ENT agents,Airway topicalization / ENT,Saline topical/nebulized,"Topical, nebulized, intranasal, airway mucosal"
Topical airway / nasal / ENT agents,Airway topicalization / ENT,Acetylcysteine,"Topical, nebulized, intranasal, airway mucosal"
Topical airway / nasal / ENT agents,Airway topicalization / ENT,Povidone-iodine,"Topical, nebulized, intranasal, airway mucosal"
Topical airway / nasal / ENT agents,Airway topicalization / ENT,Chlorhexidine,"Topical, nebulized, intranasal, airway mucosal"
Ophthalmic / specialty intraoperative agents,Ophthalmic/ENT/specialty,Phenylephrine ophthalmic,"Topical, intracameral, intravitreal, IV depending on drug"
Ophthalmic / specialty intraoperative agents,Ophthalmic/ENT/specialty,Tropicamide,"Topical, intracameral, intravitreal, IV depending on drug"
Ophthalmic / specialty intraoperative agents,Ophthalmic/ENT/specialty,Cyclopentolate,"Topical, intracameral, intravitreal, IV depending on drug"
Ophthalmic / specialty intraoperative agents,Ophthalmic/ENT/specialty,Atropine ophthalmic,"Topical, intracameral, intravitreal, IV depending on drug"
Ophthalmic / specialty intraoperative agents,Ophthalmic/ENT/specialty,Pilocarpine,"Topical, intracameral, intravitreal, IV depending on drug"
Ophthalmic / specialty intraoperative agents,Ophthalmic/ENT/specialty,Acetylcholine intraocular,"Topical, intracameral, intravitreal, IV depending on drug"
Ophthalmic / specialty intraoperative agents,Ophthalmic/ENT/specialty,Carbachol intraocular,"Topical, intracameral, intravitreal, IV depending on drug"
Ophthalmic / specialty intraoperative agents,Ophthalmic/ENT/specialty,Lidocaine intracameral,"Topical, intracameral, intravitreal, IV depending on drug"
Ophthalmic / specialty intraoperative agents,Ophthalmic/ENT/specialty,Moxifloxacin intracameral,"Topical, intracameral, intravitreal, IV depending on drug"
Ophthalmic / specialty intraoperative agents,Ophthalmic/ENT/specialty,Cefuroxime intracameral,"Topical, intracameral, intravitreal, IV depending on drug"
Ophthalmic / specialty intraoperative agents,Ophthalmic/ENT/specialty,Triamcinolone,"Topical, intracameral, intravitreal, IV depending on drug"
Ophthalmic / specialty intraoperative agents,Ophthalmic/ENT/specialty,Bevacizumab,"Topical, intracameral, intravitreal, IV depending on drug"
Ophthalmic / specialty intraoperative agents,Ophthalmic/ENT/specialty,Ranibizumab,"Topical, intracameral, intravitreal, IV depending on drug"
Ophthalmic / specialty intraoperative agents,Ophthalmic/ENT/specialty,Aflibercept,"Topical, intracameral, intravitreal, IV depending on drug"
Ophthalmic / specialty intraoperative agents,Ophthalmic/ENT/specialty,Acetazolamide,"Topical, intracameral, intravitreal, IV depending on drug"
Ophthalmic / specialty intraoperative agents,Ophthalmic/ENT/specialty,Mannitol,"Topical, intracameral, intravitreal, IV depending on drug"
Ophthalmic / specialty intraoperative agents,Ophthalmic/ENT/specialty,Indocyanine green,"Topical, intracameral, intravitreal, IV depending on drug"
Ophthalmic / specialty intraoperative agents,Ophthalmic/ENT/specialty,Trypan blue,"Topical, intracameral, intravitreal, IV depending on drug"
Ophthalmic / specialty intraoperative agents,Ophthalmic/ENT/specialty,Fluorescein,"Topical, intracameral, intravitreal, IV depending on drug"
Ophthalmic / specialty intraoperative agents,Ophthalmic/ENT/specialty,Papaverine topical,"Topical, intracameral, intravitreal, IV depending on drug"
Ophthalmic / specialty intraoperative agents,Ophthalmic/ENT/specialty,Mitomycin C topical,"Topical, intracameral, intravitreal, IV depending on drug"
Anaphylaxis / allergy adjuncts,Anaphylaxis/allergy,Epinephrine / Adrenaline,"IV, IM, inhaled depending on drug"
Anaphylaxis / allergy adjuncts,Anaphylaxis/allergy,Norepinephrine / Noradrenaline,"IV, IM, inhaled depending on drug"
Anaphylaxis / allergy adjuncts,Anaphylaxis/allergy,Vasopressin,"IV, IM, inhaled depending on drug"
Anaphylaxis / allergy adjuncts,Anaphylaxis/allergy,Salbutamol / Albuterol,"IV, IM, inhaled depending on drug"
Anaphylaxis / allergy adjuncts,Anaphylaxis/allergy,Hydrocortisone,"IV, IM, inhaled depending on drug"
Anaphylaxis / allergy adjuncts,Anaphylaxis/allergy,Methylprednisolone,"IV, IM, inhaled depending on drug"
Anaphylaxis / allergy adjuncts,Anaphylaxis/allergy,Dexamethasone,"IV, IM, inhaled depending on drug"
Anaphylaxis / allergy adjuncts,Anaphylaxis/allergy,Chlorphenamine / Chlorpheniramine,"IV, IM, inhaled depending on drug"
Anaphylaxis / allergy adjuncts,Anaphylaxis/allergy,Diphenhydramine,"IV, IM, inhaled depending on drug"
Anaphylaxis / allergy adjuncts,Anaphylaxis/allergy,Clemastine,"IV, IM, inhaled depending on drug"
Anaphylaxis / allergy adjuncts,Anaphylaxis/allergy,Promethazine,"IV, IM, inhaled depending on drug"
Anaphylaxis / allergy adjuncts,Anaphylaxis/allergy,Famotidine,"IV, IM, inhaled depending on drug"
Anaphylaxis / allergy adjuncts,Anaphylaxis/allergy,Ranitidine,"IV, IM, inhaled depending on drug"
Anaphylaxis / allergy adjuncts,Anaphylaxis/allergy,Glucagon,"IV, IM, inhaled depending on drug"
Anaphylaxis / allergy adjuncts,Anaphylaxis/allergy,Methylene blue,"IV, IM, inhaled depending on drug"
Anaphylaxis / allergy adjuncts,Anaphylaxis/allergy,Lipid emulsion 20%,"IV, IM, inhaled depending on drug"
Miscellaneous perioperative adjuncts,Dyes/sclerosants/topical vascular adjuncts,Indocyanine green,"IV, topical, intra-arterial, intralesional, intrapleural depending on drug"
Miscellaneous perioperative adjuncts,Dyes/sclerosants/topical vascular adjuncts,Methylene blue,"IV, topical, intra-arterial, intralesional, intrapleural depending on drug"
Miscellaneous perioperative adjuncts,Dyes/sclerosants/topical vascular adjuncts,Patent blue V,"IV, topical, intra-arterial, intralesional, intrapleural depending on drug"
Miscellaneous perioperative adjuncts,Dyes/sclerosants/topical vascular adjuncts,Isosulfan blue,"IV, topical, intra-arterial, intralesional, intrapleural depending on drug"
Miscellaneous perioperative adjuncts,Dyes/sclerosants/topical vascular adjuncts,Fluorescein,"IV, topical, intra-arterial, intralesional, intrapleural depending on drug"
Miscellaneous perioperative adjuncts,Dyes/sclerosants/topical vascular adjuncts,Aminolevulinic acid,"IV, topical, intra-arterial, intralesional, intrapleural depending on drug"
Miscellaneous perioperative adjuncts,Dyes/sclerosants/topical vascular adjuncts,Heparinized saline,"IV, topical, intra-arterial, intralesional, intrapleural depending on drug"
Miscellaneous perioperative adjuncts,Dyes/sclerosants/topical vascular adjuncts,Papaverine,"IV, topical, intra-arterial, intralesional, intrapleural depending on drug"
Miscellaneous perioperative adjuncts,Dyes/sclerosants/topical vascular adjuncts,Verapamil topical/intra-arterial,"IV, topical, intra-arterial, intralesional, intrapleural depending on drug"
Miscellaneous perioperative adjuncts,Dyes/sclerosants/topical vascular adjuncts,Nitroglycerin topical,"IV, topical, intra-arterial, intralesional, intrapleural depending on drug"
Miscellaneous perioperative adjuncts,Dyes/sclerosants/topical vascular adjuncts,Nimodipine,"IV, topical, intra-arterial, intralesional, intrapleural depending on drug"
Miscellaneous perioperative adjuncts,Dyes/sclerosants/topical vascular adjuncts,Botulinum toxin,"IV, topical, intra-arterial, intralesional, intrapleural depending on drug"
Miscellaneous perioperative adjuncts,Dyes/sclerosants/topical vascular adjuncts,Phenol,"IV, topical, intra-arterial, intralesional, intrapleural depending on drug"
